date 8,date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker patronage,defender patronage,att team id,def team id
20250307,07/03 14:36,4750576,NoCanDo,1125274,Axe Iri Cel Mor Dan Ast,4774649,K.s,1175973,Ast Yas Isa Seb Iri Axe,20,Bis(10098) Kho(11064) Axe(11064) Cai(11064) Oli(11064),Oli(11064) Cai(11064) Axe(11064) Alb(11064) Bis(11064),183303,37317
20250307,07/03 16:41,4454896,Team D,1121051,Kho Jet Aug Ori Neb Dan,4817583,GRyaris,1199185,Ruf Seb LaC Iri Faf Axe,20,Oli(11064) Kho(11064) Axe(11064)  ###  Cai(11064),Oli(11064) Fen(11064) Vex(11064) Bis(11064) Mar(11064),183303,37317
20250307,07/03 13:10,4712527,HRCAK,1184149,Alb Mar Seb Cel Yas Aur,4840771,kfc,1190151,Ast K'A Jhu Fac Mar Oli,20,Oli(11064) Alb(11064) Axe(11064) Fen(11064) Cai(11064),Bis(11064) Fen(11064) Alb(11064) Mar(11064) Oli(11064),183303,37317
20250307,07/03 16:34,4868542,stratis,1075871,Kho Aug Ori Seb Isa Aur,20929491,Macky,1146687,Dan Neb Ori Aug Jet Cai,20,Alb(11064) Mer(11064) Oli(11064) Axe(11064) Cai(11064),Cai(11064)  ###  Mar(11064) Alb(11064) Oli(11064),183303,37317
20250307,07/03 17:19,4668830,TrumpReturns,1126442,Axe Fac Jor Kai K'A Aur,30741822,nukesaku,1159785,Ruf Ish Dan Hei Faf Axe,20,Mar(9018) Axe(11064) Bis(11064) Vex(11064) Cai(11064),Bis(11064) Fen(11064) Cai(11064) Alb(11064) Oli(11064),183303,37317
20250307,07/03 16:40,4868542,stratis,1093100,Kho Dor Aug Ori Neb Dan,56942484,Vorg,1191497,Dan Hei Ori Aug Dor Kho,20,Axe(11064) Alb(11064) Mer(11064) Cai(11064) Fen(7020),Fen(11064) Alb(11064) Mar(11064) Kho(11064) Mer(11064),183303,37317
20250306,06/03 14:57,4425955,Tobi,1073283,Bis Mar Hei Jhu Isa Dan,4173623,Mahn,1084792,Ast Ish Cel Ori Mar Oli,20,Oli(11064) Alb(11064) Vex(10154) Axe(11064) Cai(10154),Axe(11064) Fen(11064) Bis(11064) Mer(11064) Oli(11064),183303,36637
20250306,06/03 14:02,4208957,patlacoche,1173728,Axe Ori Seb Dan K'A Krv,4177672,Team 4177671,706300,Krv Ast Yas Cel Mar Oli,20,Mar(11064) Oli(11064) Fen(11064) Vex(9428) Alb(11064),Oli(9890) Bis(6254) Alb(10154) Kho(2404) Axe(4587),183303,36637
20250306,06/03 13:12,4454896,Team D,1104822,Axe Aid Aug Ori Neb Aur,4282947,Vorr,1026191,Krv Gal Dan Mor Mar Axe,20,Mer(9018) Kho(11064) Axe(11064)  ###  Cai(11064),Bis(6676) Fen(4054) Cai(6866) Oli(11064) Axe(11064),183303,36637
20250306,06/03 13:11,4454896,Team D,1140274,Kho Hel Aug Ori Seb Aur,4331131,Team 4331131,1048478,Ast Yas Ara Kei Mar Axe,20,Mer(9018) Kho(11064) Axe(11064) Fen(6921) Cai(11064),Axe(11064) Cai(9692) Mar(10154) Alb(11064) Oli(11064),183303,36637
